dname,pctbothbenchmark
Lakeside Union Elementary,85.0
Lammersville Joint Unified,61.0
Las Virgenes Unified,75.0
Lassen Union High,40.0
Lawndale Elementary,23.0
Le Grand Union High,15.0
Lemoore Union High,47.0
Lennox,27.0
Liberty Union High,51.0
Lincoln Unified,52.0
Linden Unified,42.0
Lindsay Unified,12.0
Live Oak Unified,31.0
Livermore Valley Joint Unified,74.0
Lodi Unified,60.0
Lompoc Unified,63.0
Long Beach Unified,42.0
Loomis Union Elementary,50.0
Los Alamitos Unified,71.0
Los Angeles County Office of Education,31.0
Los Angeles Unified,23.0
Los Banos Unified,30.0
Los Gatos-Saratoga Joint Union High,92.0
Lucia Mar Unified,57.0
Lynwood Unified,18.0
Madera Unified,27.0
Mammoth Unified,58.0
Manhattan Beach Unified,87.0
Manteca Unified,37.0
Mariposa County Unified,72.0
Martinez Unified,76.0
Marysville Joint Unified,47.0
McFarland Unified,9.0
Mendocino Unified,71.0
Mendota Unified,13.0
Menifee Union Elementary,54.0
Merced Union High,32.0
Middletown Unified,51.0
Milpitas Unified,74.0
Modesto City High,40.0
Mojave Unified,36.0
Monrovia Unified,43.0
Montebello Unified,30.0
Monterey Peninsula Unified,34.0
Moorpark Unified,70.0
Moreno Valley Unified,10.0
Morgan Hill Unified,65.0
Morongo Unified,46.0
Mountain Empire Unified,37.0
Mountain View-Los Altos Union High,80.0
Mt. Diablo Unified,55.0
Muroc Joint Unified,60.0
Murrieta Valley Unified,53.0
Napa Valley Unified,48.0
Natomas Unified,36.0
Needles Unified,24.0
Nevada Joint Union High,78.0
New Haven Unified,60.0
New Jerusalem Elementary,22.0
Newark Unified,45.0
Newman-Crows Landing Unified,32.0
Newport-Mesa Unified,54.0
North Monterey County Unified,27.0
Northern Humboldt Union High,69.0
Norwalk-La Mirada Unified,15.0
Novato Unified,61.0
Nuview Union,45.0
Oak Park Unified,89.0
Oakdale Joint Unified,66.0
Oakland Unified,27.0
Oceanside Unified,49.0
Ojai Unified,57.0
Orange County Department of Education,46.0
Orange Unified,30.0
Orcutt Union Elementary,77.0
Orland Joint Unified,44.0
Oro Grande,28.0
Oroville Union High,42.0
Oxnard Union High,26.0
Pacific Grove Unified,77.0
Pajaro Valley Unified,31.0
Palm Springs Unified,30.0
Palmdale Elementary,31.0
Palo Alto Unified,90.0
Palo Verde Unified,32.0
Palos Verdes Peninsula Unified,82.0
Paradise Unified,73.0
Paramount Unified,8.0
Parlier Unified,22.0
Pasadena Unified,35.0
Paso Robles Joint Unified,51.0
Patterson Joint Unified,25.0
Perris Union High,27.0
Petaluma Joint Union High,64.0
Piedmont City Unified,89.0
Pierce Joint Unified,14.0
Pittsburg Unified,32.0
Placentia-Yorba Linda Unified,74.0
Placer Union High,64.0
Pleasanton Unified,84.0
Pomona Unified,20.0
Porterville Unified,32.0
Poway Unified,80.0
Ramona City Unified,58.0
Red Bluff Joint Union High,63.0
Redlands Unified,45.0
Redondo Beach Unified,78.0
Reef-Sunset Unified,13.0
Rialto Unified,32.0
Rim of the World Unified,30.0
Ripon Unified,49.0
River Delta Joint Unified,27.0
Riverbank Unified,28.0
Riverdale Joint Unified,22.0
Riverside County Office of Education,34.0
Riverside Unified,41.0
Rocklin Unified,74.0
Roseland,33.0
Roseville Joint Union High,70.0
Rowland Unified,45.0
SBC - High Tech High,31.0
SBE - Academia Avance Charter,12.0
SBE - New West Charter,68.0
SBE - The School of Arts and Enterprise,12.0
Sacramento City Unified,41.0
Saddleback Valley Unified,67.0
Saint Helena Unified,60.0
Salinas Union High,34.0
San Benito High,47.0
San Bernardino City Unified,26.0
San Bernardino County Office of Education,29.0
San Diego Unified,40.0
San Dieguito Union High,83.0
San Francisco Unified,38.0
San Gabriel Unified,48.0
San Jacinto Unified,24.0
San Joaquin County Office of Education,23.0
San Jose Unified,52.0
San Juan Unified,45.0
San Leandro Unified,40.0
San Lorenzo Unified,36.0
San Lorenzo Valley Unified,58.0
San Luis Coastal Unified,77.0
San Marcos Unified,55.0
San Marino Unified,92.0
San Mateo Union High,73.0
San Pasqual Valley Unified,11.0
San Rafael City High,58.0
San Ramon Valley Unified,84.0
Sanger Unified,34.0
Santa Ana Unified,23.0
Santa Barbara Unified,68.0
Santa Clara County Office of Education,48.0
Santa Clara Unified,68.0
Santa Cruz City High,64.0
Santa Cruz County Office of Education,88.0
Santa Maria Joint Union High,46.0
Santa Monica-Malibu Unified,72.0
Santa Paula Unified,43.0
Santa Rosa High,53.0
Santa Ynez Valley Union High,70.0
Scott Valley Unified,38.0
Scotts Valley Unified,81.0
Selma Unified,35.0
Sequoia Union High,46.0
Shasta Union High,72.0
Shoreline Unified,22.0
Sierra Sands Unified,72.0
Sierra Unified,54.0
Silver Valley Unified,67.0
Simi Valley Unified,67.0
Siskiyou Union High,57.0
Snowline Joint Unified,48.0
Soledad Unified,17.0
Sonoma Valley Unified,55.0
Sonora Union High,78.0
South Monterey County Joint Union High,17.0
South Pasadena Unified,88.0
South San Francisco Unified,63.0
Southern Kern Unified,35.0
Spencer Valley Elementary,54.0
Stockton Unified,31.0
Summerville Union High,62.0
Sutter Union High,65.0
Sweetwater Union High,46.0
Taft Union High,33.0
Tahoe-Truckee Unified,64.0
Tamalpais Union High,83.0
Tehachapi Unified,53.0
Temecula Valley Unified,55.0
Temple City Unified,79.0
Templeton Unified,62.0
Torrance Unified,70.0
Tracy Joint Unified,51.0
Travis Unified,54.0
Tulare County Office of Education,62.0
Tulare Joint Union High,35.0
Turlock Unified,46.0
Tustin Unified,63.0
Twin Rivers Unified,14.0
Ukiah Unified,60.0
Upland Unified,48.0
Vacaville Unified,54.0
Val Verde Unified,17.0
Vallejo City Unified,23.0
Valley Center-Pauma Unified,38.0
Ventura Unified,62.0
Victor Valley Union High,24.0
Visalia Unified,43.0
Vista Unified,59.0
Walnut Valley Unified,77.0
Wasco Union High,22.0
Washington Unified,23.0
Waterford Unified,33.0
West Contra Costa Unified,22.0
West Covina Unified,42.0
West Sonoma County Union High,67.0
Western Placer Unified,52.0
Wheatland Union High,50.0
Whittier Union High,42.0
William S. Hart Union High,59.0
Williams Unified,0.0
Willits Unified,33.0
Willows Unified,19.0
Windsor Unified,54.0
Winters Joint Unified,52.0
Wiseburn Unified,29.0
Woodlake Unified,27.0
Woodland Joint Unified,40.0
Yosemite Unified,46.0
Yreka Union High,54.0
Yuba City Unified,56.0
Yucaipa-Calimesa Joint Unified,57.0
